rps_target,throughput_rps,drain_time_s,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,completed,dropped,ok_count,fail_count,ok_rate
5,493.44,0.0,62.00,68.00,71.00,181.00,67.86,58.00,610.00,301,0,301,0,1.0000
10,1829.27,0.0,61.00,64.00,66.00,92.11,62.37,56.00,328.00,600,0,600,0,1.0000
20,5586.05,0.0,67.00,73.00,76.00,124.00,68.85,57.00,215.00,1201,0,1201,0,1.0000
30,3071.67,0.0,55.00,59.00,61.00,252.03,59.77,49.00,586.00,1800,0,1800,0,1.0000
40,1300.65,0.0,228.00,726.00,752.00,1074.00,349.96,51.00,1846.00,2401,0,2401,0,1.0000
50,160.79,0.0,4427.50,10789.70,12503.70,16944.29,5469.35,270.00,18658.00,3000,0,3000,0,1.0000
60,106.52,0.0,7655.50,23660.60,27067.45,32581.31,10556.33,191.00,33798.00,3600,0,3600,0,1.0000
80,78.52,1.1,17760.00,49208.90,53590.35,58796.16,22707.40,158.00,61128.00,4800,0,4800,0,1.0000
100,66.87,29.7,33465.00,74897.00,81381.00,88450.00,36383.42,101.00,89737.00,6001,0,6001,0,1.0000
